id,definition,created_at,updated_at,name,parent_id,pft_type,modeltype_id
139,"Switchgrass cultivar ""Cave-In-Rock""",2018-01-31 16:44:25.724483,2018-01-31 16:44:25.724483,Pavi_cir,,cultivar,2
12,Created by CD for use in tundra,2011-01-18 13:08:37,2011-01-18 13:08:37,tundra.grass,,plant,1
13,Created by CD for use in tundra,2011-01-18 13:08:54,2011-01-18 13:08:54,tundra.deciduous,,plant,1
14,Created by CD for use in tundra,2011-01-18 13:09:00,2011-01-18 13:09:00,tundra.evergreen,,plant,1
15,Late successional hardwood species for eastern temperate forest.  This corresponds to ED's PFT 11. Archetypes would be sugar maple and beech.,2011-02-01 16:06:06,2013-09-11 22:44:09,temperate.Late_Hardwood,,plant,1
16,Early successional hardwood for eastern temperate forest. Default pft = 9. Archetypes are poplar and birch. May want to split into northern and southern types (e.g. sweetgum and tulip poplar),2011-02-01 20:21:47,2011-02-01 20:21:47,temperate.Early_Hardwood,,plant,1
17,Northern Pine (early successional conifer) PFT for east temperate.  Default pft = 6.  Archetypes are red and white pine.,2011-02-01 20:29:56,2011-02-01 20:29:56,temperate.Northern_Pine,,plant,1
18,Mid-successional conifers (e.g. spruce and fir) for eastern temperate forests. No default pft. Substantial overlap with the common boreal species,2011-02-01 20:32:40,2011-02-01 20:32:40,temperate.Mid_Conifer,,plant,1
140,All switchgrass cultivars 20180125,2018-01-31 16:44:25.724483,2018-01-31 16:44:25.724483,Pavi_all,,cultivar,2
20,"Southern Pine (early successional conifer) for eastern temperate forest.  Default PFT = 7.  Archetypes are loblolly, slash, and long-leaf pines.",2011-02-01 20:37:47,2011-02-01 20:37:47,temperate.Southern_Pine,,plant,1
21,"Northern half of midsuccessional temperate hardwoods (e.g. oak, hickory, ash).  Default PFT = 10.",2011-02-01 20:39:36,2011-02-01 20:39:36,temperate.North_Mid_Hardwood,,plant,1
23,Evergreen hardwood PFT for temperate / sub-tropical region of eastern forest.  No default PFT. Archetypes are live oak and southern magnolia.,2011-02-01 20:43:53,2011-02-01 20:43:53,temperate.Evergreen_Hardwood,,plant,1
24,PFT for temperate trees found in wetlands or riparian habitats.  No default PFT.  Archetypes are cypress and tupelo.,2011-02-01 20:47:51,2011-02-01 20:47:51,temperate.Hydric,,plant,1
41,Generic PFT for temperate deciduous trees.  Good for SIPNET model runs.,2012-07-10 04:11:17,2012-07-10 18:48:06,temperate.deciduous,,plant,3
83,all plants,2011-09-27 15:53:10,2015-01-06 14:03:33.531563,plants2,,plant,1
95,all plants,2011-09-27 15:53:10,2015-01-06 14:03:53.548183,plants3,,plant,1
28,Created by DW,2011-06-07 20:06:59,2011-11-02 02:26:25,ebifarm.acsa3,,plant,1
103,Miscanthus for use with BioCro,2012-09-03 18:00:31,2014-03-11 21:06:34.869088,misp,,plant,2
102,Switchgrass for use with BioCro,2012-09-03 18:00:31,2014-03-11 21:15:31.442172,pavi,,plant,2
62,based on ebifarm.salix; Willow for BioCro,2011-06-07 20:13:02,2014-03-11 21:38:02.441628,salix,,plant,2
104,based on ebifarm.salix; Generic Poplar for BioCro,2011-06-07 20:13:02,2014-03-11 21:57:49.250313,populus,,plant,2
82,"Created by S. Serbin for use with mid successional broadleaf PFTs at the ChEAS sites for the DOE Variance Decomposition Synthesis; Based on the Northern half of midsuccessional temperate hardwoods (e.g. oak, hickory, ash).  Default PFT = 10.",2011-02-01 20:39:36,2013-09-24 14:59:36,temperate.North_Mid_Hardwood.optics,,plant,1
96,Growth respiration for all plants,2011-09-27 15:53:10,2013-10-07 14:51:52,gr.plants,,plant,1
97,Agave spp yield data,2013-10-09 02:24:22,2013-10-09 02:24:22,agave.yield,,plant,1
99,Cloned from sipnet.temperate.deciduous and modified.,2012-07-10 04:11:17,2014-03-10 18:35:02.619107,populus,,plant,1
105,"",2014-06-09 19:26:37.947239,2014-06-09 19:26:37.947239,temperate.Western_Pine,,plant,1
106,"",2014-06-09 23:18:56.123568,2014-06-09 23:18:56.123568,temperate.Western_Hardwood,,plant,1
107,"",2014-06-09 23:43:02.032495,2014-06-09 23:43:02.032495,temperate.Western_Fir,,plant,1
136,Shrub tundra community type - Salix PFT,2017-07-21 17:45:30.796819,2017-11-21 13:25:22.893586,CMT04-Salix.OLD,,plant,4
133,"based on ebifarm.salix; Willow for BioCro

Excludes Salix purpurea and miyabeana, which were intensively measured at Tully, NY, in order to see the impact of site level parameterization on water use.",2017-05-01 20:50:39.6303,2017-05-01 20:52:35.596438,salix-tully-priors,62,plant,2
141,based on ebifarm.salix; Willow for BioCro. Used for initial parameter sweep.,2018-03-15 20:35:45.945778,2018-03-15 20:36:27.882233,hardwood-priors-alltraits,62,plant,2
134,based on ebifarm.salix; Willow for BioCro,2017-06-12 19:45:17.129738,2017-06-12 19:47:57.261598,salix-miyabeana,109,plant,2
1000000086,Temperate needle-leaved evergreen tree,2016-08-12 01:23:17.87474,2016-08-12 01:23:17.87474,TeNE,,plant,1000000006
1000000006,"",2015-11-02 19:21:51.848868,2015-11-02 19:21:51.848868,Scots Pine,,plant,1000000004
1000000002,"",2014-07-29 16:33:11.623898,2015-01-06 14:02:01.501069,deciduous,1000000001,plant,1000000001
1000000004,evergreen,2015-06-19 21:50:23.540734,2015-07-06 18:32:54.906752,evergreen,1000000001,plant,1000000003
