id,description,units,notes,created_at,updated_at,name,max,min,standard_name,standard_units,label,type
612,"",m,proposed standard name for height on the plant of stem diameter measurement. Covariate for stem_diameter.,2016-05-18 15:51:17.779568,2021-04-27 19:47:15.286871,stem_diameter_height,Infinity,-Infinity,"","","",""
144,stem water potential,MPa,"",,2011-06-06 14:40:42,SWP,Infinity,-Infinity,,,,
145,relative growth rate,g g-1 d-1,"",,2011-06-06 14:40:42,RGR,Infinity,-Infinity,,,,
146,specific root length,m/g fresh biomass,"",,2011-06-06 14:40:42,SRL,Infinity,-Infinity,,,,
147,delta 13C relative to pee-dee std,per mil,"",,2011-06-06 14:40:42,del13c,Infinity,-Infinity,,,,
141,NA,umol m-2 s-1,"",,2011-06-06 14:40:42,QE_Photosys2_max,Infinity,0,,,,
74,total yield of coarse root,Mg ha-1,"",,2012-06-22 21:27:44,coarse_root_biomass,Infinity,0,,,,
148,percent emergence of planted seeds,percent,"",,2011-06-06 14:40:42,seed.emerg,100,0,,,,
150,percent N in belowground live tissue,percent,"",,2011-06-06 14:40:42,rootN,100,0,,,,
151,percent N in senesced leaves,percent,"",,2011-06-06 14:40:42,litterN,100,0,,,,
614,"","",proposed standard name for plant stem number,2016-05-18 15:54:37.190195,2016-05-18 15:54:37.190195,stem_number,Infinity,-Infinity,"","","",""
221,Leaf biomass allometry,"","",2010-11-23 11:31:33,2011-06-06 14:40:42,"b1Bl,b2Bl",Infinity,-Infinity,,,,
222,Stem biomass allometry,"","",2010-11-23 11:31:33,2011-06-06 14:40:42,"b1Bs,b2Bs",Infinity,-Infinity,,,,
223,Height allometry,"","",2010-11-23 11:31:33,2011-06-06 14:40:42,"b1Ht, b2Ht",Infinity,-Infinity,,,,
133,chloride content in dry weight,percent,"",,2012-02-13 21:21:49,aboveCl,100,0,,,,
90,cellulose concentration in leaf,percent,"",,2011-06-06 14:40:42,CelluloseL,100,0,,,,
91,cellulose concentration in stem,percent,"",,2011-06-06 14:40:42,CelluloseS,100,0,,,,
92,ash concentration in leaf,percent,"",,2011-06-06 14:40:42,leaf_ash,100,0,,,,
93,ash concentration in stem,percent,"",,2011-06-06 14:40:42,stem_ash,100,0,,,,
12,Photosynthetic Water Use Efficiency,umol [CO2] mmol -1 [H2O],"",,2021-04-27 19:25:21.549501,PWUE,Infinity,0,,,,
98,phosphorus in root,percent,"",,2011-06-06 14:40:42,rootP,100,0,,,,
99,potassium in root,percent,"",,2011-06-06 14:40:42,rootK,100,0,,,,
100,total nonstructural carbohydrates in leaf,percent,"",,2011-06-06 14:40:42,TNCL,100,0,,,,
101,total nonstructural carbohydrates in stem,percent,"",,2011-06-06 14:40:42,TNCS,100,0,,,,
104,nitrogen in stem,percent,"",,2011-06-06 14:40:42,stemN,100,0,,,,
106,nitrogen in rhizomes,percent,"",,2011-06-06 14:40:42,rhizomesN,100,0,,,,
115,total number of leaves per shoot,"","",,2011-06-06 14:40:42,leaves_per_shoot_total,Infinity,0,,,,
94,nitrogen concentration in soil,mg kg-1 soil-1,"",,2011-06-06 14:40:42,soilN,Infinity,0,,,,
120,variant dry matter in rhizome,percent,"",,2011-06-06 14:40:42,rhizome_variant_DM,100,0,,,,
95,phosphorus concentration in soil,mg kg-1 soil-1,"",,2011-06-06 14:40:42,soilP,Infinity,0,,,,
96,potassium concentration in soil,mg kg-1 soil-1,"",,2011-06-06 14:40:42,soilK,Infinity,0,,,,
102,NA,g m-2,"",,2011-06-06 14:40:42,leaf_litter,Infinity,0,,,,
130,germination of the seed in the inflorescences,percent,"",,2011-06-06 14:40:42,germination,100,0,,,,
137,leaf internal CO2 concentration,Pa,"",,2011-06-06 14:40:42,Ci,1200,0,,,,
76,turn over rate of litter,year-1,"",,2014-06-27 18:51:03.954107,turn_over_rate,Infinity,-Infinity,"","","",
107,date of emergence,date,"",,2011-06-06 14:40:42,emergence,Infinity,-Infinity,,,,
108,date of senescence,date,"",,2011-06-06 14:40:42,senescence,Infinity,-Infinity,,,,
121,phosphorus in rhizome,percent,"",,2011-06-06 14:40:42,rhizomeP,Infinity,-Infinity,,,,
122,potassium in rhizome,percent,"",,2011-06-06 14:40:42,rhizomeK,Infinity,-Infinity,,,,
129,date of flowering,date,"",,2011-06-06 14:40:42,flowering_date,Infinity,-Infinity,,,,
420,Coarse root biomass,Mg ha-1,"Coarse root biomass. Typical size cutoffs will be 1-2mm diameter.  Given the option, use 1 mm.  

covariates: depth, root_diameter_min, root_diameter_max",2012-06-12 16:35:03,2012-06-22 18:01:55,Biomass_root_coarse,Infinity,-Infinity,,,,
123,fructose in rhizome,mg g-1,"",,2011-06-06 14:40:42,rhizome_fructose,Infinity,0,,,,
124,glucose in rhizome,mg g-1,"",,2011-06-06 14:40:42,rhizome_glucose,Infinity,0,,,,
125,sucrose in rhizome,mg g-1,"",,2011-06-06 14:40:42,rhizome_sucrose,Infinity,0,,,,
128,Density of individual plants,[shoot] count m-2,"",,2021-04-27 19:29:21.407391,shoot_density_total,Infinity,-Infinity,,,,
139,NA,umol [electron] m-2 s-1,"",,2021-04-27 19:30:23.498118,ETR,Infinity,0,,,,
135,atmospheric CO2 concentration umol mol-1 = ppm,umol [CO2] mol-1 [air],"",,2021-04-27 19:30:05.898394,co2atm,1000,0,,,,
140,NA,umol [electron] m-2 s-1,"",,2021-04-27 19:30:24.24142,ETRsat,Infinity,0,,,,
153,seed mass,g [per seed],"min from epiphytic orchid Corallorhiza maculata, max from Lodoicea maldivica",,2021-04-27 19:30:44.407224,seed_mass,18000,0.000001,,,,
615,"",m,proposed standard name for X cartesian coordinate of every mapped stem in a vegetation plot,2016-05-18 15:55:35.08003,2021-04-27 19:47:18.35872,stem_x_location,Infinity,-Infinity,"","","",""
405,Annual vegetation carbon storage,Mg [C] ha−1,"",2012-06-05 19:52:46,2021-04-27 19:39:47.78887,C_ annual biomass production,Infinity,0,,,,
